job_name,source_tb_name,sink_location,sink_db_name,sink_tb_name
purchases,purchases,s3://kcd-data-staging/raw/etl/snowdon/card_sales/purchases,,
build_transaction_candidates,merged_approvals,s3://kcd-de-staging/raw/etl/snowdon/card_sales/matches/candidates/transactions_current,,
build_transaction_candidates,merged_purchases,s3://kcd-de-staging/raw/etl/snowdon/card_sales/matches/candidates/transactions_current,,
build_delivery_app_orders,merged_baedaltong_orders,s3://kcd-de-production/raw/etl/snowdon/delivery_app/delivery_app_orders,,
build_delivery_app_orders,merged_baemin_orders,s3://kcd-de-production/raw/etl/snowdon/delivery_app/delivery_app_orders,,
build_delivery_app_orders,merged_yogiyo_orders,s3://kcd-de-production/raw/etl/snowdon/delivery_app/delivery_app_orders,,
build_delivery_app_payments,merged_yogiyo_payments,s3://kcd-de-production/raw/etl/snowdon/delivery_app/delivery_app_payments,,
build_delivery_app_payments,merged_baemin_payments,s3://kcd-de-production/raw/etl/snowdon/delivery_app/delivery_app_payments,,
build_delivery_app_payments,merged_baedaltong_payments,s3://kcd-de-production/raw/etl/snowdon/delivery_app/delivery_app_payments,,
pos_preferred_menus_by_visit_type,pos_menu_with_payment_with_group_with_rank_joined_v2,s3://kcd-de-production/raw/etl/pos/pos_preferred_menus_v2,,
dedup_menus,pos_menus_raw_v2,s3://kcd-de-production/raw/etl/pos/pos_menus_v2,,
pos_add_visit_order,current_visits_canceled,s3://kcd-de-production/raw/etl/pos/pos_payments_with_visited,,
pos_add_visit_order,current_visits_approved,s3://kcd-de-production/raw/etl/pos/pos_payments_with_visited,,
purchases_canceled_transactions,transactions,s3://kcd-de-staging/work/ryan/DR/DR-71/210115/2020/purchases_canceled_transactions,,
purchases_canceled_transactions,transactions,s3://kcd-de-staging/work/ryan/DR/DR-71/210115/2020/results/purchases_canceled_transactions,,
dedup_bills,pos_bills_raw,s3://kcd-de-production/raw/etl/pos/pos_bills,,
dedup_menus,pos_menus_raw,s3://kcd-de-production/raw/etl/pos/pos_menus,,
paynote_user_stats_es_sink,paynote_user_stats,paynote_user_cube-2021-01-29,,
build_corona_weekly_stats_ratio,address_weekly_transaction_type_ratio,s3://kcd-de-staging/work/ryan/corona_weekly/37/address_weekly_transaction_type_ratio,,
build_corona_weekly_stats_ratio,classification_weekly_transaction_type_ratio,s3://kcd-de-staging/work/ryan/corona_weekly/37/classification_weekly_transaction_type_ratio,,
build_corona_weekly_stats_ratio,address_depth_1_weekly_ratio,s3://kcd-de-staging/work/ryan/corona_weekly/37/address_depth_1_weekly_ratio,,
build_corona_weekly_stats_ratio,address_depth_2_weekly_ratio,s3://kcd-de-staging/work/ryan/corona_weekly/37/address_depth_2_weekly_ratio,,
build_corona_weekly_stats_ratio,classification_depth_1_weekly_ratio,s3://kcd-de-staging/work/ryan/corona_weekly/37/classification_depth_1_weekly_ratio,,
build_corona_weekly_stats_ratio,classification_depth_2_weekly_ratio,s3://kcd-de-staging/work/ryan/corona_weekly/37/classification_depth_2_weekly_ratio,,
build_hometax_stat,hometax_purchases_stat,s3://kcd-de-production/raw/stat/snowdon/hometax/hometax_stat,snowdon,hometax_stat
build_hometax_stat,hometax_sales_stat,s3://kcd-de-production/raw/stat/snowdon/hometax/hometax_stat,snowdon,hometax_stat
build_matched_tables,transactions_updated,s3://kcd-de-staging/raw/etl/snowdon/card_sales/transactions,,
build_matched_tables,transactions_not_updated,s3://kcd-de-staging/raw/etl/snowdon/card_sales/transactions,,
pos_sales_amount_daily,pos_sales_source_v2,s3://kcd-de-production/raw/etl/pos/pos_bills_stats_v2,,
join_approval_candidates,current_approvals,s3://kcd-de-staging/raw/etl/snowdon/card_sales/matches/candidates/approvals_current,,
store_info_sink,merge,s3://kcd-de-production/service/market_area/store_info,,
paynote_place_topk,location_topk,s3://kcd-de-production/raw/etl/bulkload/paynote_place_topk,,
paynote_place_topk,location_gender_topk,s3://kcd-de-production/raw/etl/bulkload/paynote_place_topk,,
paynote_place_topk,location_review_topk,s3://kcd-de-production/raw/etl/bulkload/paynote_place_topk,,
paynote_place_topk,location_age_band_gender_topk,s3://kcd-de-production/raw/etl/bulkload/paynote_place_topk,,
paynote_place_topk,location_age_band_topk,s3://kcd-de-production/raw/etl/bulkload/paynote_place_topk,,
join_purchase_candidates,current_purchases,s3://kcd-de-staging/raw/etl/snowdon/card_sales/matches/candidates/purchases_current,,
pos_menus_tok_k,pos_menus_with_time_bucket,s3://kcd-de-production/raw/etl/pos/pos_topk_menus,,
dedup_bills,pos_bills_raw_v2,s3://kcd-de-production/raw/etl/pos/pos_bills_v2,,
send_log_to_es,send_log,message_history-2020-09,,
build_nice_monthly_stats,last_sent_businesses,s3://kcd-de-staging/work/ryan/nice_monthly/2021-01-01/business_meta_with_status,,
build_nice_monthly_stats,business_meta,s3://kcd-de-staging/work/ryan/nice_monthly/2021-01-01/business_meta_with_status,,
build_nice_monthly_stats,business_meta_with_status,s3://kcd-de-staging/work/ryan/nice_monthly/2021-01-01/businesses_monthly_stats,,
build_nice_monthly_stats,transactions_stat_with_meta,s3://kcd-de-staging/work/ryan/nice_monthly/2021-01-01/businesses_monthly_stats,,
build_nice_monthly_stats,businesses_monthly_stats,s3://kcd-de-staging/work/ryan/nice_monthly/2021-01-01/address_monthly_stats,,
build_nice_monthly_stats,businesses_monthly_stats,s3://kcd-de-staging/work/ryan/nice_monthly/2021-01-01/classification_monthly_stats,,
build_nice_monthly_stats,hometax_stat,s3://kcd-de-staging/work/ryan/nice_monthly/2021-01-01/hometax_sales_monthly_stat,,
market_info_sink,market_info,market_info-2021-01-01,,
build_matched_tables,transactions_updated,s3://kcd-de-staging/raw/etl/snowdon/card_sales/transactions,,
build_matched_tables,transactions_not_updated,s3://kcd-de-staging/raw/etl/snowdon/card_sales/transactions,,
pos_add_visit_order,current_visits_approved_v2,s3://kcd-de-production/raw/etl/pos/pos_payments_with_visited_v2,,
pos_add_visit_order,current_visits_canceled_v2,s3://kcd-de-production/raw/etl/pos/pos_payments_with_visited_v2,,
build_bank_account_balances,bank_transactions,s3://kcd-de-production/test/raw/etl/snowdon/bank/bank_account_balances,,
daily_delivery_orders_stat,delivery_app_orders,s3://kcd-de-production/raw/stat/snowdon/delivery_app_v2/daily_delivery_orders,,
conv_log,conv_with_click_log,s3://kcd-de-production/service/message/logs/conv_log,,
message_send_stat_es_sink,message_send_stat,message_cube-2020-09,,
purchases,reformat_purchases,s3://kcd-data-staging/raw/etl/snowdon/card_sales/tmp/purchases,,
weekly_aggr,targets_src,s3://thrush/test/shon/corona_jobs/tx_with_meta,,
weekly_aggr,places,s3://thrush/test/shon/corona_jobs/tx_with_meta,,
weekly_aggr,approvals,s3://thrush/test/shon/corona_jobs/tx_with_meta,,
merge_stats_with_meta,stat_union_meta,s3://kcd-de-production/raw/stat/snowdon/card_sales/transactions_stat_with_meta,snowdon,transactions_stat_with_meta
merge_stats_with_meta,delivery_app_orders_stat,s3://kcd-de-production/raw/stat/snowdon/card_sales/transactions_stat_with_meta,snowdon,transactions_stat_with_meta
build_delivery_app_orders,merged_baedaltong_orders,s3://kcd-de-production/raw/etl/snowdon/delivery_app/delivery_app_orders,,
build_delivery_app_orders,merged_baemin_orders,s3://kcd-de-production/raw/etl/snowdon/delivery_app/delivery_app_orders,,
build_delivery_app_orders,merged_yogiyo_orders,s3://kcd-de-production/raw/etl/snowdon/delivery_app/delivery_app_orders,,
add_visit_orders_approved,transactions_approved,s3://kcd-de-production/raw/etl/snowdon/card_sales/visits_approved,,
delivery_receipt_stats,order_by_day,s3://kcd-de-staging/raw/etl/pos/receipt_stats,,
delivery_receipt_stats,order_by_month,s3://kcd-de-staging/raw/etl/pos/receipt_stats,,
delivery_receipt_stats,order_by_week,s3://kcd-de-staging/raw/etl/pos/receipt_stats,,
click_log_to_es,ad_group,message_history-2020-09,,
click_log_to_es,cashnote_web_click,message_history-2020-09,,
conv_log,conv_with_click_log,s3://kcd-de-production/service/message/logs/conv_log,,
snapshot_user_history,visit_with_duration,s3://kcd-de-production/service/market_area/analysis/snapshot_user_history,,
visit_with_duration,visits_filtered,s3://kcd-de-production/service/market_area/analysis/visit_with_duration,,
registration_number_meta_es_sink,registration_number_meta,registration_number_cube-2021-01-29,,
match_to_approvals,approvals_with_cancel,s3://kcd-de-staging/raw/etl/snowdon/card_sales/matches/merged/approvals_current,,
match_to_approvals,approvals_without_cancel,s3://kcd-de-staging/raw/etl/snowdon/card_sales/matches/merged/approvals_current,,
match_to_approvals,approvals_with_late_cancel,s3://kcd-de-staging/raw/etl/snowdon/card_sales/matches/merged/approvals_current,,
paynote_user_meta_es_sink,paynote_user_meta,paynote_user_cube-2021-01-29,,
build_cohort,visit_pairs_with_user_type,s3://kcd-de-production/service/market_area/analysis/cohort,,
pos_sales_amount_daily,pos_sales_source,s3://kcd-de-production/raw/etl/pos/pos_bills_stats,,
build_corona_weekly_stats_ratio_adhoc,gyeongnam_shinhan_classification_ratio,s3://kcd-de-staging/work/ryan/corona_weekly/44/gyeongnam/shinhan_classification_ratio,,
build_corona_weekly_stats_ratio_adhoc,gyeongnam_classification_ratio,s3://kcd-de-staging/work/ryan/corona_weekly/44/gyeongnam/gyeongnam_classification_ratio,,
build_corona_weekly_stats_ratio_adhoc,gyeongnam_kcd_classification_ratio,s3://kcd-de-staging/work/ryan/corona_weekly/44/gyeongnam/kcd_classification_ratio,,
partition_prod_back_fill,plover,s3://kcd-de-production/raw/catalog_v3,,
partition_prod_back_fill,pos,s3://kcd-de-production/raw/catalog_v3,,
get_latest_ids_goose,card_payments,s3://kcd-de-production/misc/db_dump/dump_latest_ids_goose,,
get_latest_ids_goose,access_logs,s3://kcd-de-production/misc/db_dump/dump_latest_ids_goose,,
get_latest_ids_goose,user_events,s3://kcd-de-production/misc/db_dump/dump_latest_ids_goose,,
build_delivery_app_payments,merged_yogiyo_payments,s3://kcd-de-production/raw/etl/snowdon/delivery_app/delivery_app_payments,,
build_delivery_app_payments,merged_baemin_payments,s3://kcd-de-production/raw/etl/snowdon/delivery_app/delivery_app_payments,,
build_delivery_app_payments,merged_baedaltong_payments,s3://kcd-de-production/raw/etl/snowdon/delivery_app/delivery_app_payments,,
parse_receipt,receipt_raw,s3://kcd-de-staging/raw/etl/pos/receipt,etl_staging_pos,receipt
place_table_incremental,place_indexes_snapshot,s3://kcd-data/place_table/2021_01_29/place_indexes,,
place_table_incremental,place_indexes,s3://kcd-data/place_table/2021_01_29/place_indexes,,
place_table_incremental,place_info_with_rating,s3://kcd-data/place_table/2021_01_29/place_info,,
place_table_incremental,place_indexes_union_distinct,s3://kcd-data/place_table/2021_01_29/place_info,,
place_table_incremental,place_menus_snapshot,s3://kcd-data/place_table/2021_01_29/place_menus,,
place_table_incremental,place_menus,s3://kcd-data/place_table/2021_01_29/place_menus,,
place_table_incremental,place_reviews,s3://kcd-data/place_table/2021_01_29/place_reviews,,
place_table_incremental,place_reviews_snapshot,s3://kcd-data/place_table/2021_01_29/place_reviews,,
place_table_graph_format,place_indexes,s3://kcd-data/place_table/graph_format/place_indexes,,
place_table_graph_format,place_info,s3://kcd-data/place_table/graph_format/place_info,,
place_table_graph_format,place_menus,s3://kcd-data/place_table/graph_format/place_menus,,
place_table_graph_format,place_reviews,s3://kcd-data/place_table/graph_format/place_reviews,,
build_raw_tables,businesses,s3://kcd-de-staging/raw/etl/snowdon/card_sales/approvals,,
build_raw_tables,card_merchants,s3://kcd-de-staging/raw/etl/snowdon/card_sales/approvals,,
build_raw_tables,current_approvals,s3://kcd-de-staging/raw/etl/snowdon/card_sales/approvals,,
build_raw_tables,current_purchases,s3://kcd-de-staging/raw/etl/snowdon/card_sales/purchases,,
market_info,business_meta_with_amount,s3://kcd-de-production/service/market_area/market_info,,
market_info,address_amount_range,s3://kcd-de-production/service/market_area/market_info,,
partition_prod_back_fill_parquet,plover,s3://kcd-de-production/raw/catalog_v3_complete,,
partition_prod_back_fill_parquet,pos,s3://kcd-de-production/raw/catalog_v3_complete,,
build_stats,daily_transactions_stat,s3://kcd-de-production/raw/stat/snowdon/card_sales/transactions_stat,snowdon,card_sales_transactions_stat
build_stats,monthly_transactions_stat,s3://kcd-de-production/raw/stat/snowdon/card_sales/transactions_stat,snowdon,card_sales_transactions_stat
build_stats,daily_hour_transactions_stat,s3://kcd-de-production/raw/stat/snowdon/card_sales/transactions_stat,snowdon,card_sales_transactions_stat
build_stats,purchases,s3://kcd-de-production/raw/stat/snowdon/card_sales/purchases_stat,snowdon,card_sales_purchases_stat
build_stats,payments,s3://kcd-de-production/raw/stat/snowdon/card_sales/payments_stat,snowdon,card_sales_payments_stat
build_raw_tables,businesses,s3://kcd-de-production/raw/etl/snowdon/card_sales/approvals,snowdon,card_sales_approvals
build_raw_tables,businesses,s3://kcd-de-production/raw/etl/snowdon/card_sales/approvals,snowdon,card_sales_approvals_0586b43079018d2bca04d089921813c2
build_raw_tables,card_merchants,s3://kcd-de-production/raw/etl/snowdon/card_sales/approvals,snowdon,card_sales_approvals
build_raw_tables,card_merchants,s3://kcd-de-production/raw/etl/snowdon/card_sales/approvals,snowdon,card_sales_approvals_0586b43079018d2bca04d089921813c2
build_raw_tables,current_approvals,s3://kcd-de-production/raw/etl/snowdon/card_sales/approvals,snowdon,card_sales_approvals
build_raw_tables,current_approvals,s3://kcd-de-production/raw/etl/snowdon/card_sales/approvals,snowdon,card_sales_approvals_0586b43079018d2bca04d089921813c2
build_raw_tables,current_purchases,s3://kcd-de-production/raw/etl/snowdon/card_sales/purchases,snowdon,card_sales_purchases
build_raw_tables,prev_payments,s3://kcd-de-production/raw/etl/snowdon/card_sales/payments,snowdon,card_sales_payments
build_raw_tables,payments,s3://kcd-de-production/raw/etl/snowdon/card_sales/payments,snowdon,card_sales_payments
business_meta_es_sink,business_meta,business_cube-2021-01-29,,
build_hometax_invoices,hometax_sales_invoices_unique,s3://kcd-de-production/raw/etl/snowdon/hometax/hometax_invoices,snowdon,hometax_invoices
build_hometax_invoices,hometax_purchases_invoices_unique,s3://kcd-de-production/raw/etl/snowdon/hometax/hometax_invoices,snowdon,hometax_invoices
build_hometax_invoices,businesses,s3://kcd-de-production/raw/etl/snowdon/hometax/hometax_invoices,snowdon,hometax_invoices
pos_preferred_menus_by_visit_type,pos_menu_with_payment_with_group_with_rank_joined,s3://kcd-de-production/raw/etl/pos/pos_preferred_menus,,
build_corona_weekly_stats_ratio,address_weekly_transaction_type_ratio,s3://kcd-de-staging/work/ryan/corona_weekly/2021/5/address_weekly_transaction_type_ratio,,
build_corona_weekly_stats_ratio,classification_weekly_transaction_type_ratio,s3://kcd-de-staging/work/ryan/corona_weekly/2021/5/classification_weekly_transaction_type_ratio,,
