,source,src_options_paths
0,after_approvals_raw,3
1,after_payments_raw,3
2,after_purchases_raw,3
3,bank,0
4,businesses,0
5,card_sales_approvals_raw,1
6,card_sales_purchases_raw,1
7,cardsales,0
8,catalog_approvals_raw,1
9,catalog_payments_raw,1
10,catalog_purchases_raw,1
11,classification,0
12,classifications,0
13,delivery_app_comments,0
14,hometax,0
15,jdbc:acceptanced_business_template_answers,0
16,jdbc:acceptanced_business_templates,0
17,jdbc:acceptances,0
18,jdbc:access_logs,0
19,jdbc:ad_group,0
20,jdbc:ad_group_event_map,0
21,jdbc:ad_history,0
22,jdbc:baedaltong_orders,0
23,jdbc:baedaltong_payments,0
24,jdbc:baemin_orders,0
25,jdbc:baemin_payments,0
26,jdbc:baemin_sales_vats,0
27,jdbc:bank_accounts,0
28,jdbc:bank_transactions,0
29,jdbc:business_days,0
30,jdbc:businesses,0
31,jdbc:campaign,0
32,jdbc:card_agreements,0
33,jdbc:card_merchants,0
34,jdbc:card_payments,0
35,jdbc:card_purchases_approvals,0
36,jdbc:card_purchases_bills,0
37,jdbc:card_purchases_payments,0
38,jdbc:cards,0
39,jdbc:client_user_mapping,0
40,jdbc:creative,0
41,jdbc:credential_keys,0
42,jdbc:credentials,0
43,jdbc:custom_set,0
44,jdbc:customer_invoices,0
45,jdbc:customer_transactions,0
46,jdbc:daily_reports,0
47,jdbc:delivery_apps,0
48,jdbc:devices,0
49,jdbc:hometax_businesses,0
50,jdbc:hometax_card_purchases,0
51,jdbc:hometax_card_sales,0
52,jdbc:hometax_overdue_taxes,0
53,jdbc:hometax_purchases_cash_receipts,0
54,jdbc:hometax_purchases_invoices,0
55,jdbc:hometax_sales_cash_receipts,0
56,jdbc:hometax_sales_declarations,0
57,jdbc:hometax_sales_invoices,0
58,jdbc:hometax_tax_notices,0
59,jdbc:hometax_tax_payments,0
60,jdbc:hometax_tax_refunds,0
61,jdbc:hometax_vat_declarations,0
62,jdbc:hometax_wht_declarations,0
63,jdbc:iamport_customers,0
64,jdbc:issuer_histories,0
65,jdbc:issuers,0
66,jdbc:kakao_message_groups,0
67,jdbc:kakao_messages,0
68,jdbc:memberships,0
69,jdbc:monthly_reports,0
70,jdbc:new_card_sales_transactions,0
71,jdbc:phones,0
72,jdbc:place_comments,0
73,jdbc:place_masters,0
74,jdbc:place_merchants,0
75,jdbc:place_reviews,0
76,jdbc:places,0
77,jdbc:pos_agents,0
78,jdbc:report_logs,0
79,jdbc:scrapings,0
80,jdbc:sdk_event,0
81,jdbc:shinhancard_businesses,0
82,jdbc:shinhancard_customer_statistics,0
83,jdbc:subscriptions,0
84,jdbc:survey_monkey_responses,0
85,jdbc:traders,0
86,jdbc:user_events,0
87,jdbc:users,0
88,jdbc:vendor_invoices,0
89,jdbc:vendor_transactions,0
90,jdbc:weekly_reports,0
91,jdbc:yogiyo_orders,0
92,jdbc:yogiyo_payments,0
93,location,0
94,merchant,0
95,message,0
96,place_comments,0
97,place_reviews,0
98,places,0
99,pos_bills_raw,1
100,pos_bills_raw_v2,1
101,pos_menus_raw,1
102,pos_menus_raw_v2,1
103,pos_payments_raw,2
104,pos_payments_raw_v2,1
105,process:::acceptance_templates:::paynote_users,0
106,process:::access_logs_date:::dump_db_goose_incremental,0
107,process:::ad_group_filter:::target_download,0
108,process:::ad_group_id:::user_info_prev,0
109,process:::add_ad_group_meta:::click_log_to_es,0
110,process:::add_field:::check_daily_report,0
111,process:::add_h3:::delivery_receipt_stats,0
112,process:::add_join_field:::business_meta_es_sink,0
113,process:::add_join_field:::cashnote_custom_set,0
114,process:::add_join_field:::cashnote_user_meta_es_sink,0
115,process:::add_join_field:::cashnote_user_stats_es_sink,0
116,process:::add_join_field:::paynote_custom_set,0
117,process:::add_join_field:::paynote_user_meta_es_sink,0
118,process:::add_join_field:::paynote_user_stats_es_sink,0
119,process:::add_target_id:::daily_reports_wo_card,0
120,process:::add_timestamp:::registration_number_meta_es_sink,0
121,process:::address_amount_range:::market_info,0
122,process:::address_depth_1_weekly_ratio:::build_corona_weekly_stats_ratio,0
123,process:::address_depth_1_weekly_ratio_pivot:::build_corona_weekly_stats_ratio,0
124,process:::address_depth_2_weekly_ratio:::build_corona_weekly_stats_ratio,0
125,process:::address_depth_2_weekly_ratio_pivot:::build_corona_weekly_stats_ratio,0
126,process:::address_monthly_stats:::build_nice_monthly_stats,0
127,process:::address_weekly_transaction_type_ratio:::build_corona_weekly_stats_ratio,0
128,process:::address_weekly_transaction_type_ratio_pivot:::build_corona_weekly_stats_ratio,0
129,process:::after_approvals:::approvals,0
130,process:::after_approvals:::build_raw_tables,0
131,process:::after_payments:::build_raw_tables,0
132,process:::after_payments:::payments,0
133,process:::after_purchases:::build_raw_tables,0
134,process:::after_purchases:::purchases,0
135,process:::aggr:::address_classification_stat,0
136,process:::aggr_user_tags:::aggregate_user_tags,0
137,process:::all_sdk_event:::update_sdk_event,0
138,process:::approval_candidates:::build_card_sales_all,0
139,process:::approval_candidates:::build_matched_tables,0
140,process:::approvals:::approvals,0
141,process:::approvals:::build_raw_tables,0
142,process:::approvals_stat:::card_sales_approvals,0
143,process:::approvals_with_cancel:::match_to_approvals,0
144,process:::approvals_with_late_cancel:::match_to_approvals,0
145,process:::approvals_with_sequence:::approvals,0
146,process:::approvals_without_cancel:::match_to_approvals,0
147,process:::attribution_window:::conv_log,0
148,process:::baedaltong_orders:::build_delivery_app_orders,0
149,process:::baedaltong_orders_date:::dump_incremental,0
150,process:::baedaltong_orders_raw:::build_delivery_app_orders,0
151,process:::baedaltong_orders_unique:::build_delivery_app_orders,0
152,process:::baedaltong_payments:::build_delivery_app_payments,0
153,process:::baedaltong_payments_date:::dump_incremental,0
154,process:::baedaltong_payments_raw:::build_delivery_app_payments,0
155,process:::baedaltong_payments_src:::build_delivery_app_payments,0
156,process:::baedaltong_payments_unique:::build_delivery_app_payments,0
157,process:::baemin_orders:::build_delivery_app_orders,0
158,process:::baemin_orders_date:::dump_incremental,0
159,process:::baemin_orders_raw:::build_delivery_app_orders,0
160,process:::baemin_orders_unique:::build_delivery_app_orders,0
161,process:::baemin_payments:::build_delivery_app_payments,0
162,process:::baemin_payments_date:::dump_incremental,0
163,process:::baemin_payments_raw:::build_delivery_app_payments,0
164,process:::baemin_payments_src:::build_delivery_app_payments,0
165,process:::baemin_payments_unique:::build_delivery_app_payments,0
166,process:::baemin_sales_vats_date:::dump_incremental,0
167,process:::baemin_sales_vats_raw:::build_delivery_app_orders,0
168,process:::bank_accounts:::business_bank,0
169,process:::bank_deposit:::bank_transactions,0
170,process:::bank_transactions:::build_bank_account_balances,0
171,process:::bank_transactions:::build_bank_transactions,0
172,process:::bank_transactions:::business_bank,0
173,process:::bank_transactions_date:::dump_incremental,0
174,process:::bank_transactions_formatted:::build_bank_transactions,0
175,process:::bank_transactions_unique:::build_bank_transactions,0
176,process:::bank_withdraw:::bank_transactions,0
177,process:::bccard:::card_classification_business_id,0
178,process:::bccard:::kcd_classification,0
179,process:::bccard:::merchant_classification_kcd,0
180,process:::bccard:::payment_code_classification,0
181,process:::bccard_business_classification:::bccard_classification,0
182,process:::bccard_business_classification:::card_classification,0
183,process:::bccard_business_classification:::merchant_classification_card,0
184,process:::bccard_new:::card_classification_business_id,0
185,process:::bdong_range:::market_info,0
186,process:::bluebird_sdk_event:::update_sdk_event,0
187,process:::build_bank_account_balances:::build_bank_account_balances,0
188,process:::business_address:::business_location_sources,0
189,process:::business_classification:::kcd_classification,0
190,process:::business_classification:::market_area_classification,0
191,process:::business_classification:::merchant_classification_kcd,0
192,process:::business_location:::registration_number_common_location,0
193,process:::business_meta_filtered:::hometax_business_label,0
194,process:::business_meta_with_amount:::market_info,0
195,process:::business_meta_with_status:::build_nice_monthly_stats,0
196,process:::businesses:::businesses,0
197,process:::businesses:::hometax_business_amount_employee,0
198,process:::businesses_info:::daily_reports,0
199,process:::businesses_info:::test_daily_reports,0
200,process:::businesses_monthly_stats:::build_nice_monthly_stats,0
201,process:::businesses_with_nice_monthly_variables:::build_nice_monthly_variables,0
202,process:::calc_additional_columns:::daily_reports,0
203,process:::calc_additional_columns:::test_daily_reports,0
204,process:::calc_stat:::message_stat,0
205,process:::calc_stat:::message_stat_init,0
206,process:::campaign_id:::user_info_prev,0
207,process:::card_agreements:::paynote_users,0
208,process:::card_payments:::build_daily_report,0
209,process:::card_payments:::build_daily_reports,0
210,process:::card_payments:::build_user_categories,0
211,process:::card_payments_classification:::card_classification,0
212,process:::card_payments_date:::dump_db_goose_incremental,0
213,process:::card_payments_stat:::paynote_user_stat,0
214,process:::card_purchases:::build_card_purchases,0
215,process:::card_purchases:::build_card_purchases_stat,0
216,process:::card_purchases:::build_daily_reports,0
217,process:::card_purchases_approvals:::build_card_purchases,0
218,process:::card_purchases_approvals_date:::dump_incremental,0
219,process:::card_purchases_bills_date:::dump_incremental,0
220,process:::card_purchases_payments_date:::dump_incremental,0
221,process:::card_purchases_stat:::build_card_purchases_stat,0
222,process:::card_purchases_stat:::build_daily_reports,0
223,process:::card_purchases_unique:::build_card_purchases,0
224,process:::card_sales:::build_daily_report,0
225,process:::card_sales:::build_daily_reports,0
226,process:::card_sales_transactions:::dump_db_card_sales,0
227,process:::cards:::businesses,0
228,process:::cashnote:::registration_number_card_sales,0
229,process:::cashnote_businesses:::registration_number_businesses,0
230,process:::cashnote_sdk_event:::update_sdk_event,0
231,process:::cashnote_web_click:::click_log_to_es,0
232,process:::cast_targets:::target_download,0
233,process:::catalog_approvals_filtered:::approvals,0
234,process:::catalog_approvals_filtered:::build_raw_tables,0
235,process:::catalog_payments_filtered:::build_raw_tables,0
236,process:::catalog_payments_filtered:::payments,0
237,process:::catalog_purchases_filtered:::build_raw_tables,0
238,process:::catalog_purchases_filtered:::purchases,0
239,process:::classification_depth_1_weekly_ratio:::build_corona_weekly_stats_ratio,0
240,process:::classification_depth_1_weekly_ratio_pivot:::build_corona_weekly_stats_ratio,0
241,process:::classification_depth_2_weekly_ratio:::build_corona_weekly_stats_ratio,0
242,process:::classification_depth_2_weekly_ratio_pivot:::build_corona_weekly_stats_ratio,0
243,process:::classification_monthly_stats:::build_nice_monthly_stats,0
244,process:::classification_tree:::build_sales_stat,0
245,process:::classification_weekly_transaction_type_ratio:::build_corona_weekly_stats_ratio,0
246,process:::classification_weekly_transaction_type_ratio_pivot:::build_corona_weekly_stats_ratio,0
247,process:::classifications_stat:::build_sales_stat,0
248,process:::click_log_aggr:::message_stat,0
249,process:::click_log_aggr:::message_stat_init,0
250,process:::click_users:::message,0
251,process:::client_user_mapping_joined:::build_user_agreements,0
252,process:::cohort:::build_cohort,0
253,process:::comments:::delivery,0
254,process:::comments:::places,0
255,process:::common_location:::business_location_kcd,0
256,process:::common_location:::merchant_location_common,0
257,process:::conv_with_click_log:::conv_log,0
258,process:::credentials:::businesses,0
259,process:::crefia_business_meta:::crefia_business_meta,0
260,process:::crefia_credential:::daily_reports,0
261,process:::crefia_credential:::test_daily_reports,0
262,process:::cur_conv_log:::conv_log,0
263,process:::current_approval_candidates:::build_card_sales_all,0
264,process:::current_approval_candidates:::build_matched_tables,0
265,process:::current_approval_candidates:::join_approval_candidates,0
266,process:::current_approvals:::approvals,0
267,process:::current_approvals:::build_card_sales_all,0
268,process:::current_approvals:::build_matched_tables,0
269,process:::current_approvals:::build_raw_tables,0
270,process:::current_approvals:::join_approval_candidates,0
271,process:::current_approvals_dedup:::build_card_sales_all,0
272,process:::current_approvals_raw:::build_card_sales_all,0
273,process:::current_payments:::payments,0
274,process:::current_pos_payments:::pos_add_visit_order,0
275,process:::current_pos_payments_approved:::pos_add_visit_order,0
276,process:::current_pos_payments_approved_v2:::pos_add_visit_order,0
277,process:::current_pos_payments_canceled:::pos_add_visit_order,0
278,process:::current_pos_payments_canceled_v2:::pos_add_visit_order,0
279,process:::current_purchase_candidates:::build_card_sales_all,0
280,process:::current_purchase_candidates:::build_matched_tables,0
281,process:::current_purchase_candidates:::join_purchase_candidates,0
282,process:::current_purchases:::build_card_sales_all,0
283,process:::current_purchases:::build_matched_tables,0
284,process:::current_purchases:::build_raw_tables,0
285,process:::current_purchases:::join_purchase_candidates,0
286,process:::current_purchases:::purchases,0
287,process:::current_purchases_dedup:::build_card_sales_all,0
288,process:::current_purchases_raw:::build_card_sales_all,0
289,process:::current_purchases_reformat:::build_card_sales_all,0
290,process:::current_stat:::message_stat,0
291,process:::current_stat:::message_stat_init,0
292,process:::current_transactions:::build_card_sales_all,0
293,process:::current_transactions:::build_matched_tables,0
294,process:::current_transactions:::match_to_transactions,0
295,process:::current_txs_approved:::add_visit_orders,0
296,process:::current_txs_cancelled:::add_visit_orders,0
297,process:::current_visits_approved:::pos_add_visit_order,0
298,process:::current_visits_approved_v2:::pos_add_visit_order,0
299,process:::current_visits_canceled:::pos_add_visit_order,0
300,process:::current_visits_canceled_v2:::pos_add_visit_order,0
301,process:::custom_set_all:::cashnote_custom_set,0
302,process:::custom_set_all:::paynote_custom_set,0
303,process:::custom_set_new:::cashnote_custom_set,0
304,process:::custom_set_new:::paynote_custom_set,0
305,process:::custom_set_values:::cashnote_custom_set,0
306,process:::custom_set_values:::paynote_custom_set,0
307,process:::customer_invoices_date:::dump_incremental,0
308,process:::customer_transactions_date:::dump_incremental,0
309,process:::daily_card_purchases_stat:::build_card_purchases_stat,0
310,process:::daily_card_sales:::build_daily_report,0
311,process:::daily_card_sales:::build_daily_reports,0
312,process:::daily_delivery_app_sales:::build_daily_reports,0
313,process:::daily_delivery_apps_order_stats:::delivery_app_orders_stat,0
314,process:::daily_delivery_orders_stat:::daily_delivery_orders_stat,0
315,process:::daily_hour_transactions_stat:::build_daily_report,0
316,process:::daily_hour_transactions_stat:::build_stats,0
317,process:::daily_order_payments_stat:::delivery_app_payments_stat,0
318,process:::daily_reports_date:::dump_incremental,0
319,process:::daily_stat:::build_daily_report,0
320,process:::daily_stat:::build_daily_reports,0
321,process:::daily_stat_joined:::build_daily_report,0
322,process:::daily_stat_joined:::build_daily_reports,0
323,process:::daily_stat_with_demo:::merge_stats_with_meta,0
324,process:::daily_transaction_type_stats:::daily_transaction_type_stats,0
325,process:::daily_transactions_stat:::build_stats,0
326,process:::day_hour_stat_with_demo:::merge_stats_with_meta,0
327,process:::dedup:::target_extract_log,0
328,process:::delivery_app_orders:::build_delivery_app_orders,0
329,process:::delivery_app_orders:::daily_delivery_orders_stat,0
330,process:::delivery_app_orders:::delivery_app_orders_stat,0
331,process:::delivery_app_orders_stat:::build_daily_report,0
332,process:::delivery_app_orders_stat:::build_daily_reports,0
333,process:::delivery_app_orders_stat:::delivery_app_orders_stat,0
334,process:::delivery_app_payments:::build_daily_reports,0
335,process:::delivery_app_payments:::build_delivery_app_payments,0
336,process:::delivery_app_payments_stat:::build_daily_reports,0
337,process:::delivery_app_payments_stat:::delivery_app_payments_stat,0
338,process:::delivery_app_sales:::build_daily_report,0
339,process:::delivery_app_sales:::build_daily_reports,0
340,process:::demography:::cashnote_users,0
341,process:::devices:::cashnote_users,0
342,process:::devices:::paynote_users,0
343,process:::diff:::check_daily_report,0
344,process:::dim_business_id:::cashnote_custom_set,0
345,process:::dim_phone_number:::paynote_custom_set,0
346,process:::dim_public_id:::cashnote_custom_set,0
347,process:::dim_user_id:::cashnote_custom_set,0
348,process:::event_mapping:::conv_log,0
349,process:::extract_log:::user_info_prev,0
350,process:::filtered:::cashnote_user_stat,0
351,process:::filtered_business:::paynote_place_topk,0
352,process:::filtered_business_with_paynote_location:::paynote_place_topk,0
353,process:::filtered_items:::asp_pos_post_process,0
354,process:::filtered_message:::transform_and_rest_sink,0
355,process:::filtered_message:::transform_message,0
356,process:::filtered_message_with_public_id:::transform_and_rest_sink,0
357,process:::filtered_message_with_public_id:::transform_message,0
358,process:::filtered_payments:::asp_pos_post_process,0
359,process:::filtered_target_users:::target_rest_sink,0
360,process:::flatten:::common_reports,0
361,process:::formatted:::build_daily_report,0
362,process:::formatted:::bulkload_with_formatting_cashnote_business_meta_common,0
363,process:::formatted:::bulkload_with_formatting_cashnote_user_meta_common,0
364,process:::formatted:::cashnote_user_meta,0
365,process:::formatted:::paynote_user_meta,0
366,process:::formatted:::transform_and_rest_sink,0
367,process:::formatted:::transform_message,0
368,process:::formatted_conv:::conv_log_to_es,0
369,process:::formatted_items:::asp_pos_post_process,0
370,process:::formatted_new_report_logs:::check_daily_report,0
371,process:::formatted_old_report_logs:::check_daily_report,0
372,process:::formatted_payments:::asp_pos_post_process,0
373,process:::formatted_report_logs:::daily_reports,0
374,process:::formatted_send:::send_log_to_es,0
375,process:::formatted_with_custom_set:::cashnote_user_meta,0
376,process:::formatted_with_custom_set:::paynote_user_meta,0
377,process:::franchise:::kcd_classification,0
378,process:::grouped:::bccard_classification,0
379,process:::grouped:::build_visits,0
380,process:::grouped:::cashnote_custom_set,0
381,process:::grouped:::paynote_custom_set,0
382,process:::gyeongnam_classification_ratio:::build_corona_weekly_stats_ratio_adhoc,0
383,process:::gyeongnam_classification_ratio_pivot:::build_corona_weekly_stats_ratio_adhoc,0
384,process:::gyeongnam_kcd_classification_ratio:::build_corona_weekly_stats_ratio_adhoc,0
385,process:::gyeongnam_kcd_classification_ratio_pivot:::build_corona_weekly_stats_ratio_adhoc,0
386,process:::gyeongnam_shinhan_classification_ratio:::build_corona_weekly_stats_ratio_adhoc,0
387,process:::gyeongnam_shinhan_classification_ratio_pivot:::build_corona_weekly_stats_ratio_adhoc,0
388,process:::gyeongnam_weekly_txns:::build_corona_weekly_stats_ratio_adhoc,0
389,process:::hometax:::build_daily_reports,0
390,process:::hometax:::kcd_classification,0
391,process:::hometax_address:::business_location_sources,0
392,process:::hometax_amount:::hometax_business_amount_employee,0
393,process:::hometax_business:::hometax,0
394,process:::hometax_business_label:::hometax_business_label,0
395,process:::hometax_card_purchases:::build_hometax_stat,0
